os,finance_db,finance_rowid,finance_client,lab_client,score,status,issue,entry,amount,nfs,classification,current_status,decision,link_count
29964,banco_empresa.db,718,MONDELEZ,MONDELEZ,1.0,Liberado,2026-04-14,2026-02-13,19344.79,135,safe,Liberado,mark_invoiced,1
29967,banco_empresa.db,680,ARA TEXTIL,ARA TEXTIL,1.0,Liberado,2026-03-13,2026-02-18,20850.0,102,safe,Liberado,mark_invoiced,1
29968,banco_empresa.db,651,FIABESA,FIABESA,1.0,Liberado,2026-02-23,2026-02-18,1000.0,80,safe,Liberado,mark_invoiced,1
29969,banco_empresa.db,680,ARA TEXTIL,ARA TEXTIL,1.0,Liberado,2026-03-13,2026-02-18,20850.0,102,safe,Liberado,mark_invoiced,1
29970,banco_empresa.db,656,CAFE OURO VERDE,CAFÉ OURO VERDE,1.0,Liberado,2026-02-26,2026-02-19,6120.0,81,safe,Liberado,mark_invoiced,1
29971,banco_empresa.db,692,MONDELEZ,MONDELEZ,1.0,Liberado,2026-03-23,2026-02-18,1428.27,111,safe,Liberado,mark_invoiced,1
29972,banco_empresa.db,672,EDK MINERAÇÃO,EDK,0.808,Liberado,2026-03-10,2026-02-23,13775.0,97,safe,Liberado,mark_invoiced,1
29973,banco_empresa.db,672,EDK MINERAÇÃO,EDK,0.808,Liberado,2026-03-10,2026-02-23,13775.0,97,safe,Liberado,mark_invoiced,1
29974,banco_empresa.db,672,EDK MINERAÇÃO,EDK,0.808,Liberado,2026-03-10,2026-02-23,13775.0,97,safe,Liberado,mark_invoiced,1
29976,banco_empresa.db,664,ISOESTE,ISOESTE,1.0,Liberado,2026-03-03,2026-02-20,1972.0,88,safe,Liberado,mark_invoiced,1
29979,banco_empresa.db,667,FIBRASA,FIBRASA,1.0,Liberado,2026-03-05,2026-02-23,11020.0,91,safe,Liberado,mark_invoiced,1
29980,banco_empresa.db,667,FIBRASA,FIBRASA,1.0,Liberado,2026-03-05,2026-02-23,11020.0,91,safe,Liberado,mark_invoiced,1
29983,banco_automacao.db,978,CAPRICCHE S.A,CAPRICCHE,1.0,Liberado,2026-04-01,2026-02-23,10400.0,16,safe,Liberado,mark_invoiced,1
29984,banco_automacao.db,978,CAPRICCHE S.A,CAPRICCHE,1.0,Liberado,2026-04-01,2026-02-23,10400.0,16,safe,Liberado,mark_invoiced,1
